screen,mode,fps,flush_avg_us,flush_peak_us,refresh_us,first_frame_us,build_us,lvgl_peak_us,core0_idle_pct,core1_idle_pct,loop_peak_us,deltas_s,parsed_s,parse_avg_us,store_size,store_lookups_s,ws_frames_s,ws_bytes_s,subscriptions,heap_lowwate
dashboard,typed,2.0,477,748,798,291447,0,140307,-1,-1,61285.0,26.0,26,799,24.0,0,26,5996,28,13,10,10764,44.5
wind,typed,5.8,332,621,760,285197,49545,505412,-1,-1,142.0,30.8,31,868,24.0,0,31,7090,28,13,10,10764,44.7
wind_classic,typed,6.2,272,720,750,923789,61802,927146,-1,-1,240.0,26.0,26,838,24.0,0,26,6000,28,13,10,10764,44.7
wind_steer,typed,13.5,195,1078,28002,442261,102219,859623,-1,-1,252.0,31.2,31,1025,24.0,0,31,7205,28,13,10,10700,45.5
nav,typed,6.5,498,804,1316,264297,42204,268283,-1,-1,6293.0,26.0,26,723,24.0,0,26,6041,22,12,10,10700,44.7
depth,typed,0.0,0,0,466,102846,34207,106621,-1,-1,123.0,1.2,1,151,24.0,0,2,382,6,12,10,10700,44.0
steering,typed,1.0,456,514,998,128053,47372,257790,-1,-1,22259.0,8.0,8,634,24.0,0,8,1865,6,12,10,10700,44.5
route,typed,0.0,0,0,571,122980,39649,126929,-1,-1,126.0,0.0,0,0,24.0,0,0,0,7,12,9,10700,43.7
autopilot,typed,4.2,341,747,5364,1086933,127375,1090626,-1,-1,15710.0,27.0,27,819,24.0,0,27,6234,28,9,9,10700,45.5
trip,typed,2.0,364,522,580,115123,20883,119396,-1,-1,192.0,25.5,26,715,24.0,0,26,5874,28,9,9,10700,44.7
status,typed,5.8,172,328,1704,146758,25356,151159,-1,-1,168.0,26.5,26,719,24.0,0,26,6113,28,9,9,10700,44.5
dashboard,store,2.0,467,689,834,176842,0,181300,-1,-1,166.0,26.0,26,802,24.0,20,26,6000,28,9,9,10700,44.2
wind,store,5.5,296,603,714,461417,49545,466019,-1,-1,137.0,26.5,26,856,24.0,0,26,6121,28,9,9,10700,44.5
wind_classic,store,6.8,287,849,2772,680635,61802,684362,-1,-1,152.0,27.8,28,902,24.0,0,28,6408,28,9,9,10700,45.2
wind_steer,store,14.8,169,562,20018,725841,102219,835410,-1,-1,196.0,27.2,27,1015,24.0,0,27,6290,28,9,9,10700,45.2
nav,store,7.0,505,791,1652,214032,42204,217884,-1,-1,163.0,25.2,25,719,24.0,25,26,5860,22,9,9,10700,44.5
depth,store,0.0,0,0,588,68748,34207,72632,-1,-1,138.0,2.2,2,157,24.0,20,2,600,6,9,9,10700,44.0
steering,store,1.0,440,468,879,236435,47372,249976,-1,-1,25006.0,6.2,6,565,24.0,25,7,1464,6,9,7,10700,44.0
route,store,0.2,116,466,681,67870,39649,103261,-1,-1,30447.0,2.2,2,191,24.0,20,2,643,7,9,7,10700,44.0
autopilot,store,3.8,386,729,4338,674998,127375,750625,-1,-1,139.0,29.5,30,821,24.0,0,30,6772,28,9,7,10700,45.5
trip,store,2.2,332,752,576,78412,20883,82387,-1,-1,338.0,26.2,26,668,24.0,0,26,6034,28,9,7,10700,44.5
status,store,5.0,168,251,1739,94643,25356,99521,-1,-1,134.0,26.2,26,703,24.0,0,26,6034,28,9,7,10700,44.5
